Lat[deg],Lng[deg],AccX,AccY,AccZ,GyroX,GyroY,GyroZ
33.88087499999999,130.70727499999998,0.078613,0.324951,1.119629,28.564453,-15.441895,8.972168
33.8808736,130.7072724,0.078613,0.324951,1.119629,28.564453,-15.441895,8.972168
33.880872200000006,130.7072698,0.149414,0.242676,1.387451,-21.240234,1.098633,12.084961
33.8808708,130.7072672,-0.189697,0.070312,0.919434,-2.014160,9.399414,20.141602
33.880869399999995,130.70726459999997,0.054443,0.212158,1.248535,-18.615723,1.098633,31.005859
33.880868,130.707262,-0.048096,0.166016,1.033203,23.071289,-9.338379,10.986328
33.88086619999999,130.70725929999998,0.067139,0.330078,1.014404,6.774902,24.597168,1.342773
33.88086440000001,130.7072566,0.030518,0.138184,1.028809,-15.014648,17.883301,-16.235352
33.88086259999999,130.70725389999998,0.030518,0.138184,1.028809,-15.014648,17.883301,-16.235352
33.88086080000001,130.7072512,-0.049316,0.354248,0.985596,2.990723,8.300781,-22.460938
33.880859,130.7072485,-0.008789,0.115234,1.231201,-24.291992,19.348145,-31.372070
33.880857199999994,130.70724579999998,-0.204102,0.142578,1.082275,12.023926,-15.258789,-29.541016
33.88085540000001,130.7072431,-0.131348,0.421143,1.156250,11.718750,3.417969,-28.076172
33.880853599999995,130.7072404,-0.040039,0.229980,0.977051,5.737305,0.244141,-3.234863
33.88085180000001,130.7072377,-0.151855,0.140137,0.941162,19.775391,-4.882812,-4.272461
33.88085,130.707235,-0.056885,0.245117,0.906494,8.728027,1.892090,-1.464844
33.88084820000001,130.707232,-0.056885,0.245117,0.906494,8.728027,1.892090,-1.464844
33.880846399999996,130.70722899999998,-0.084229,-0.015869,1.100830,-28.930664,14.953613,-2.136230
33.880844599999996,130.707226,0.008057,0.161621,1.002686,2.502441,-10.498047,2.624512
33.8808428,130.707223,-0.150146,0.169922,0.852783,33.020020,2.624512,12.390137
33.88084100000001,130.70722,0.147217,0.159668,1.069092,10.253906,-1.281738,13.000488
33.8808392,130.70721699999999,-0.061768,0.265137,1.210938,-12.084961,7.995605,-2.685547
33.880837400000004,130.707214,-0.173096,0.454834,0.710938,6.042480,27.404785,-20.629883
33.880835600000005,130.707211,-0.173096,0.454834,0.710938,6.042480,27.404785,-20.629883
33.88083379999999,130.70720799999998,0.115234,0.210449,0.955322,-14.770508,9.704590,-15.197754
33.880832,130.707205,0.078613,0.197266,1.205322,-21.606445,-6.530762,1.403809
33.88083029999999,130.70720179999998,-0.114014,0.308350,1.109131,6.652832,-3.295898,-4.760742
33.8808286,130.7071986,-0.012207,0.358887,1.129150,17.639160,-8.239746,2.502441
33.880826899999995,130.7071954,-0.068359,0.036865,1.003174,-14.770508,-12.145996,-3.112793
33.880825200000004,130.7071922,0.017822,-0.037598,1.111572,-4.516602,-17.395020,-4.882812
33.8808235,130.707189,-0.058350,-0.019775,0.855713,7.263184,-1.770020,-7.995605
33.88082179999999,130.7071858,-0.058350,-0.019775,0.855713,7.263184,-1.770020,-7.995605
33.8808201,130.7071826,-0.021240,0.089355,0.678711,6.042480,-27.221680,-5.737305
33.880818399999995,130.7071794,-0.104004,0.213867,1.516602,-3.112793,7.568359,9.887695
33.880816700000004,130.70717620000002,-0.056152,0.166992,0.717285,29.724121,-16.296387,1.831055
33.880815,130.707173,0.097656,0.277100,0.887451,3.234863,9.460449,-9.216309
33.8808135,130.70716950000002,-0.161865,0.691162,1.428711,-13.244629,-6.347656,-12.695312
33.880812,130.707166,-0.139893,-0.029053,0.967773,-10.498047,-9.948730,-1.281738
33.8808105,130.7071625,-0.139893,-0.029053,0.967773,-10.498047,-9.948730,-1.281738
33.88080899999999,130.707159,-0.068359,0.181641,0.922119,2.258301,-4.577637,7.019043
33.8808075,130.7071555,-0.105225,0.408936,1.037109,8.666992,11.230469,-7.629395
33.88080600000001,130.707152,0.009033,0.350342,1.105469,12.268066,-16.174316,0.244141
33.880804499999996,130.7071485,0.009033,0.308350,1.078613,10.437012,-22.094727,8.789062
33.880803,130.707145,-0.077881,0.193359,1.429688,-21.057129,3.479004,5.859375
33.8808015,130.70714149999998,-0.039795,0.079346,0.748047,2.563477,2.685547,10.803223
33.8808,130.707138,-0.085693,0.411621,1.255127,-6.408691,0.366211,29.846191
33.8807983,130.7071345,-0.085693,0.411621,1.255127,-6.408691,0.366211,29.846191
33.8807966,130.70713099999998,-0.081055,0.138916,1.257080,-11.657715,2.807617,11.230469
33.8807949,130.70712749999998,-0.035645,0.359863,0.712891,6.530762,19.592285,-20.812988
33.88079320000001,130.707124,0.053955,0.182861,1.071289,-20.263672,22.094727,-24.230957
33.880791499999994,130.70712049999997,-0.104492,0.148438,0.991211,9.277344,-9.887695,-4.699707
33.880789799999995,130.70711699999998,-0.070068,0.101318,1.444336,-21.362305,26.367188,-3.417969
33.880788100000004,130.7071135,-0.073730,0.307617,1.334717,-21.545410,-2.136230,-2.929688
33.880786400000005,130.70711,-0.073730,0.307617,1.334717,-21.545410,-2.136230,-2.929688
33.8807847,130.70710649999998,-0.091309,0.295410,1.085205,6.652832,1.037598,8.422852
33.880783,130.707103,0.036377,0.149902,1.071289,4.089355,-12.939453,-0.244141
33.8807811,130.7070991,0.016846,0.200928,1.040527,-14.892578,3.662109,-4.821777
33.880779200000006,130.7070952,0.185303,-0.023926,1.213623,-24.902344,-14.282227,2.319336
33.880777300000005,130.7070913,-0.040771,0.440430,1.041748,-16.296387,-3.723145,5.493164
33.880775400000005,130.7070874,0.029541,0.369141,1.203857,-13.732910,-10.009766,17.150879
33.880773500000004,130.7070835,-0.045166,0.308838,1.291992,-22.094727,21.911621,0.854492
33.880771599999996,130.7070796,-0.045166,0.308838,1.291992,-22.094727,21.911621,0.854492
33.880769699999995,130.7070757,-0.013184,0.039062,0.787354,-64.147949,36.376953,-7.446289
33.880767799999994,130.7070718,-0.095459,0.124756,0.806152,2.624512,11.535645,-16.845703
33.8807659,130.7070679,-0.237793,0.249512,1.133545,15.136719,1.831055,-17.089844
33.880764,130.707064,0.046387,0.370605,0.848633,16.235352,-19.226074,12.145996
33.880762000000004,130.7070601,-0.059814,0.462646,0.986816,-3.173828,12.451172,2.685547
33.88076,130.7070562,0.092285,0.395752,1.378174,-0.305176,13.610840,-11.413574
33.88075799999999,130.7070523,0.092285,0.395752,1.378174,-0.305176,13.610840,-11.413574
33.880756,130.7070484,-0.122559,0.156982,1.127197,-8.850098,14.648438,-11.047363
33.880753999999996,130.7070445,0.049316,0.410889,1.350586,-27.038574,-4.272461,-3.112793
33.880752,130.7070406,-0.104004,0.006104,0.875244,-34.484863,12.451172,-6.164551
33.880750000000006,130.7070367,-0.125977,0.166748,0.977051,-10.742188,-6.835938,-3.295898
33.880748,130.70703279999998,-0.079102,0.256592,1.360352,4.516602,-8.911133,-2.563477
33.880745999999995,130.70702889999998,-0.129395,0.129639,0.880615,-1.220703,-1.037598,-9.033203
33.880744,130.707025,-0.050293,0.003418,0.992920,-15.380859,10.925293,-17.456055
